Product ID,Product Name,Category,Product Description,Price (After Disc.),Price (Before Disc.),Dimensions,Material & Finish,Bulb Type,Style
JC7,12-Light Black Iron Classic Chandelier,Chandelier,"Bring timeless elegance to your space with this 12-light black iron chandelier. Crafted with gracefully curved arms and delicate metal leaf accents, this statement fixture features two tiers of candle-style lights with warm LED filament bulbs. Its bold black finish blends classic charm with modern versatility, making it perfect for dining rooms, living areas, or grand entryways. Design features two-tier, candle-style with decorative leaves and adjustable chain suspension.","₹2,400.00","₹5,000.00","39"" (H) x 40"" (W)","Metal, black finish","E12 base, LED filament recommended","Traditional, rustic, modern farmhouse"
JHL-01,Hanging Lampshade,Hanging Lamp,Hanging Lampshade fixture designed for ambient lighting. Simple and functional for various interior settings.,"₹1,000.00","₹1,500.00",—,—,—,—
JHG-01,Glass hanging shade,Hanging Lamp,"Glass hanging shade fixture designed to provide clean, direct illumination through a glass housing.","₹1,200.00","₹1,700.00",—,Glass,—,—
JC20,6-Lights Chandelier,Chandelier,"This is a wrought iron chandelier with a rustic, classic design. Crafted from black wrought iron with a slightly matte finish for a vintage look. A central stem extends downward, supporting five evenly spaced curved arms with decorative scrollwork. Each arm holds a candle-style socket with a small round drip plate, fitted with flame-tip bulbs for an old-world charm. Suspended from a linked chain.","₹2,000.00","₹4,000.00",—,"Black wrought iron, matte finish","Candle-style socket, flame-tip bulbs","Rustic, traditional"
JC13,6-Light Black & Gold Chandelier,Chandelier,"Sophisticated chandelier with a sleek black frame and gold candle cups for a striking two-tone finish. Features 6 gracefully curved arms with candle-style lights, perfect for adding elegance to dining rooms, living spaces, or large entryways. Single-tier design with adjustable chain.","₹2,000.00","₹4,200.00","43"" H x 38"" W",Metal with black and gold finish,"E12 base, LED filament recommended","Modern classic, transitional"
JC11,12-Light Black Chandelier,Chandelier,"A grand two-tier chandelier with 12 candle-style lights arranged on gracefully curved arms. Decorative metal leaf accents add a touch of classic charm. The bold black finish complements both traditional and modern spaces, making it perfect for dining rooms, living rooms, or large entryways. Adjustable chain to fit various ceiling heights.","₹1,800.00","₹4,000.00","39"" H x 40"" W","Metal, black finish","E12 base, LED filament recommended","Traditional, rustic, modern farmhouse"
JC19,8-Lights Chandelier,Chandelier,"This chandelier has a minimalist, classic candle-style design with a modern black finish. Constructed from metal with a sleek matte black coating. A central cylindrical stem supports 8 gracefully curved arms that extend outward in a symmetrical arrangement. Each arm holds a candle-style bulb socket with a simple round drip plate, fitted with flame-tip LED bulbs to mimic the look of traditional candles. Suspended by a chain for ceiling installation.",—,—,—,Metal with matte black coating,"Candle-style bulb socket, flame-tip LED",Classic elegance with modern industrial edge
JC18,12-Lights Chandelier,Chandelier,"Traditional-style chandelier with a symmetrical, elegant design. Made of metal with a dark or possibly antique finish, giving it a vintage, classic appearance. A central vertical column supports multiple gracefully arched arms arranged in two tiers — the upper tier is shorter, and the lower tier extends wider. Each arm ends in a candle-style socket with a wide circular drip plate, evoking the look of old candelabras.",—,—,—,"Metal, dark/antique finish","Candle-style socket, electric candle bulbs","Traditional, vintage, rustic, formal"
JC17,9-Lights Chandelier,Chandelier,"Modern Black Metal Chandelier designed to add a bold statement with a contemporary industrial edge. Featuring a central column with elegantly curved arms that radiate outward, creating a striking floral-inspired silhouette. Each arm ends with a sleek, round light holder designed for directional or spot-style bulbs, offering both functional illumination and sculptural appeal. 8 curved arms with decorative loops.",—,—,—,Powder-coated black metal,GU10/E16/MR16-style bulbs,Modern Industrial / Contemporary Gothic
JC16,12-Light Antique Gold Chandelier with Crystal Accents,Chandelier,"A statement two-tier chandelier in a rich antique gold finish, featuring 12 candle-style lights. Each light is adorned with textured glass bobeches and hanging crystal drops, adding sparkle and luxury. The elegant curved arms and tiered design make it ideal for grand dining rooms, ballrooms, or large entryways. Adjustable chain to fit various ceiling heights.",—,—,"48"" H x 38"" W",Metal with antique gold finish,"E12 base, LED filament recommended","Classic, vintage, formal elegance"
JT6,Classic Table Lamp,Table Lamp,"The lamp features a rich polished brass finish with a graceful, conical/urn shape and a wide, flared bottom. Topped with a fabric shade in a neutral ivory tone. The combination produces a warm, cozy luminosity. Ideal for traditional, transitional, or classic contemporary interiors. Base reflects light with a warm golden glow. Works beautifully on nightstands, desks, or end tables.",₹800.00,"₹1,500.00",—,"Polished brass finish, cloth shade",Standard bulbs (B22 or E27/E14),"Traditional, transitional, classic contemporary"
JT5,Elegant Table Lamp,Table Lamp,"Features a classic look with an ivory or cream shade. The brass exhibits a polished to satin glow, offering warmth and refinement. Base design includes mixed architectural and decorative moulding like rings, fluting, and baluster turns, creating depth and visual interest. Soft-dry cloth care recommended. Fits with classic, transitional, or vintage-inspired interiors.","₹1,200.00","₹2,000.00",—,High-quality metal brass polished,E14 or E27 LED,"Classic, transitional, vintage-inspired"
JT4,Rustic Chic Table Lamp,Table Lamp,"Combines a black-finished metal base with a handcrafted jute-wrapped shade, producing a balance between industrial strength and natural warmth. Sturdy metal base with a textured black matte coating and rounded urn-like shape. The woven jute pattern lets small gaps of light escape, creating a cozy, dappled illumination. Offers an inviting, rustic feel.",₹900.00,"₹1,800.00",—,"Metal (black matte), natural jute fiber",Warm white LED (2700-3000 K),"Eclectic, boho, farmhouse-chic, industrial"
JT3,Rustic Industrial Table Lamp,Table Lamp,"Constructed from sturdy metal with a gold finish, offering a robust yet minimalist look. Base features an elegantly shaped urn-like profile with subtle ridges near the top. Shade is covered in neutral fabric (ivory or cream) over a metal frame, in an empire or conical shape that diffuses light downward and outward. Great for nightstands or side tables.","₹1,100.00","₹2,000.00",—,"Metal (gold finish), fabric (cloth)",Warm-white LED (max 40W equivalent),"Rustic, industrial, organic"
JT2,Lamp,Table Lamp,"Base is made of polished metal (brass or antique bronze) that radiates a warm, golden-brown hue. Silhouette features elegant curves and stacked circular sections, giving it a refined yet sturdy presence. Shade is a unique woven-look crafted from jute or natural fiber with evenly spaced horizontal bands, allowing light to softly filter through for a cozy glow. Blends traditional and rustic elements.","₹1,200.00","₹2,000.00",—,"Polished metal (brass/bronze), jute/natural fiber",—,"Traditional, rustic, bohemian, farmhouse-chic"
JT1,Elegant Table Lamp,Table Lamp,"Classic look with ivory or cream shade and polished brass base. Architectural and decorative moulding-like rings, fluting, and baluster turns create depth and visual interest. Soft, inviting light perfect for reading or accent use. Care includes using a soft-dry cloth for the brass. Ideal for side tables, desks, or nightstands.","₹1,200.00","₹2,100.00",—,High-quality metal brass polished,E14 or E27 LED,"Classic, transitional, vintage-inspired"
JC8,12-Lights silver chandelier,Chandelier,"Two-tier crystal and metal chandelier with 12 lights (4 upper, 8 lower). Features a polished metal frame in silver or pewter tone, clear textured glass bobeches (dish-shaped holders), and dangling crystal prisms that catch and reflect light for luxury and sparkle. Classic and ornate vintage-inspired elegance. Suspended by a metal chain.","₹3,200.00","₹5,500.00","38"" (H) × 35"" (W)","Polished metal (silver/pewter), glass, crystal",Candle-style LED filament (flame-tip),"Classic, ornate, vintage-inspired"
JC2,6-Lights Chandelier,Chandelier,"Ornate, traditional-style fixture with polished brass finish for a warm, rich glow. Six curved arms radiate from a central column with turned decorative elements. Each arm supports a candle-style bulb holder surrounded by a textured glass bobeche. Clear crystal droplets hang from each light holder and beneath the arms for added sparkle. Blends vintage charm with subtle opulence.","₹2,600.00","₹5,000.00","37"" (H) × 32"" (W)","Polished brass finish, crystal accents",Candle-shaped LED filament (flame-style),"Elegant, classic, traditional"
JC3,6-Lights gold & black chandelier,Chandelier,"Six arms crafted from black-finished metal shaped into flowing, graceful curves looping back for a sense of organic fluidity. Connected to the central ceiling canopy by delicate gold-toned chains, forming gentle arcs that add openness and decorative detail. Top gold disc adds a polished touch to the black canopy and central shaft.","₹2,000.00","₹3,500.00",—,"Black-finished metal, gold-toned chains",—,"Organic, modern, elegant"
JC1,8-Lights gold and black chandelier,Chandelier,Elegant design with shiny gold curved arms extending outward and upward from a black central column and base accents. Features a vintage-meets-modern aesthetic where the gold provides a luxury feel and the black central piece adds contrast. Eight candle-style light fixtures using flame-shaped bulbs. Suspended by a gold chain.,"₹2,800.00","₹4,800.00","35"" (H) × 39"" (W)","Shiny gold arms, black central column",Flame-shaped LED/incandescent,"Vintage-meets-modern, luxurious"
JC5,8-Lights Chandelier,Chandelier,"Minimalist, modern-candle style with a simple and symmetrical radial design. Eight curved arms extend from a central hub in an even pattern. Slender central column with a matte black metal finish for a sleek contemporary look. Works well in modern farmhouse and industrial-inspired interiors.","₹2,000.00","₹4,800.00","33"" (H) × 27"" (W)",Matte black metal,Candle-style LED filament (flame-tip),"Minimalist, modern-candle, industrial"
JC4,6-Lights traditional brass Chandelier,Chandelier,"Traditional brass design for a classic and elegant look. Six sweeping arms extend from a tall, sculpted central column. Features clear crystal teardrops and beads hanging from glass bobeches and arm bases. Polished brass provides a reflective golden tone, perfect for luxury dining rooms or entryways.","₹1,800.00","₹4,800.00","37"" (H) × 36"" (W)","Polished brass metal, crystal, glass",Flame-tip LED filament bulbs,"Traditional, luxury, elegant"
JC9,12-Lights gold & crystals chandelier,Chandelier,"Opulent and traditional chandelier with sparkling crystal ornaments including teardrops and beaded strands. Features a two-tier structure (4 upper, 8 lower) with a bright gold-tone metal frame and textured clear glass bobeches. Offers rich, classic glamour for formal dining rooms or grand living spaces.","₹3,200.00","₹6,000.00","38"" (H) × 35"" (W)","Gold-tone metal, glass, crystal",Flame-tip LED filament bulbs,"Opulent, traditional, classic glamour"
JC10,8-Light open-frame black chandelier,Chandelier,"Minimalist yet dramatic with an airy, cage-like silhouette and open dome-like frame created by long, sweeping vertical curves. Eight upward-curving arms extend from a hub. Matte black metal finish throughout gives it a modern industrial touch, suitable for high ceilings and entryways.","₹3,000.00","₹5,800.00","44"" (H) × 31"" (W)",Matte black metal,Candle-style LED filament (flame-tip),"Minimalist, modern industrial"
JC12,8-Lights black & gold chandelier,Chandelier,"Modern-classic blend with sleek curves and minimal ornamentation. Features black-finished arms and canopy contrasted by gold-toned candle holders and a gold central column. Sophisticated color scheme with an Art Deco touch, making it versatile for modern or traditional interiors.","₹1,800.00","₹4,800.00","29"" (H) × 31"" (W)",Black and gold metal,Flame-tip LED filament bulbs,"Modern-classic, Art Deco"
JC6,12-lights Gold Chandelier,Chandelier,"Classic and formal chandelier with a minimal yet graceful design. Features a two-tier structure (4 upper, 8 lower) with a long vertical central column leading to curved arms. Polished brass or gold-tone metal provides a warm vintage glow. Subtle hanging crystal drops add sparkle without overpowering the design.","₹2,400.00","₹4,800.00","37"" (H) × 35"" (W)",Polished brass/gold-tone metal,Candle-style LED filament (flame-tip),"Classic, formal, timeless"
JC15,6-Light Black Chandelier with Patterned Glass Shades,Chandelier,"Elegant chandelier with a black metal frame and six beautifully patterned glass shades. The shades feature intricate gold floral designs, adding warmth and sophistication. Single-tier design with curved arms and ornate glass shades. Perfect for dining rooms, living rooms, or bedrooms seeking a decorative touch. Adjustable chain.",—,—,"33"" H x 26"" W",Metal frame with gold-patterned glass shades,"E27 base, LED recommended","Traditional, decorative, vintage-inspired"
JC14,6-Light Antique Gold Chandelier,Chandelier,"Elegant single-tier chandelier in a rich antique gold finish with 6 candle-style lights. Adorned with textured glass bobeches and hanging crystal drops that add sparkle and sophistication. Gracefully curved arms provide a touch of luxury for entryways, bedrooms, or dining rooms. Adjustable chain.",—,—,"35"" H x 34"" W","Metal with antique gold finish, crystal, glass","E12 base, LED filament recommended","Classic, vintage, glam"
JW1,Classic wall bracket JW1,Wall Bracket,Matte black powder-coated metal wall bracket with leaf-shaped ornaments on each curved arm. Features four candle-style bulb holders designed to resemble traditional candle flames. Symmetrical upward-facing arms provide a classic European candelabra look. Central circular base plate attaches securely to the wall. Designed for ambient or accent lighting.,₹800.00,"₹1,200.00",—,Matte black powder-coated metal,E14 base bulbs,"European candelabra, vintage, rustic"